age,education,marital status,number of children,ideal number of children,sex,sexual orientation,race,ethinicity,political views,religious preference,religious services attend,abortion opinion,sexual education,homosexual opinion,tv hours,email hours,relax hours,work related racism,work satisfaction,life satisfaction,poor mental health,confidence in government,ballot
44,16,5,2,-100,1,3,2,2,-99,1,0,1,-100,4,-100,-100,-100,-100,-100,-100,-100,-100,3
57,15,3,2,8,1,-100,2,2,2,1,2,-100,1,4,3,4,3,2,1,10,0,-100,1
75,14,3,3,-100,2,3,2,2,4,1,5,-100,-100,-99,-100,-100,-100,-100,-100,-100,-100,-100,3
31,14,5,3,3,2,-100,2,2,4,1,0,-100,1,-100,2,1,1,2,1,8,0,2,2
62,0,4,3,-100,2,-100,1,1,3,2,3,-100,-100,1,-100,-100,-100,-100,2,-100,-100,-100,3
50,17,3,1,-100,2,3,1,1,4,2,3,1,-100,4,-100,-100,1,2,4,9,5,1,3
39,15,5,2,0,1,-100,1,1,4,10,2,-100,1,-100,1,4,7,2,1,10,30,3,2
33,13,5,0,-100,1,3,1,1,4,4,0,-100,-100,4,-100,-100,-100,-100,4,-100,-100,1,3
43,16,4,2,2,2,-100,-100,-98,2,2,1,-100,1,-100,1,7,1,2,1,9,3,-100,2
23,16,5,0,2,2,-100,3,5,2,4,2,-100,1,-100,3,5,5,2,1,8,3,-100,2
31,16,5,0,-100,2,3,1,1,3,4,2,1,-100,4,-100,-100,10,2,2,7,8,-100,3
33,19,5,0,-100,1,3,1,1,6,1,7,2,-100,1,-100,-100,3,2,1,8,0,2,3
24,12,5,0,-100,1,-98,3,16,4,2,0,1,-100,4,-100,-100,6,2,3,6,0,1,3
23,16,5,0,-100,1,-99,1,1,3,4,0,1,-100,4,-100,-100,-100,-100,2,-100,-100,-100,3
58,14,3,0,-100,1,-100,2,2,2,1,1,2,1,1,8,0,4,2,1,-98,0,-100,1
39,17,5,0,-100,2,-100,1,1,3,4,1,-100,1,4,4,1,2,2,2,6,20,1,1
56,6,1,3,4,1,-100,3,16,6,2,4,-100,1,-100,2,0,1,1,1,9,0,-100,2
71,16,1,0,-100,2,1,2,2,1,4,6,-100,-100,4,-100,-100,5,2,1,-98,0,-100,3
56,16,1,3,2,2,3,3,10,4,1,4,-100,2,-100,1,1,-100,-100,-100,-100,-100,-100,2
41,14,1,3,-100,2,3,3,10,4,9,8,-100,-100,1,-100,-100,-100,-100,1,-100,-100,-100,3
27,17,5,0,2,2,-100,1,1,1,1,1,-100,1,4,1,1,2,2,2,8,30,1,1
